gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,fyr,at,capx,che,cogs,csho,cshpri,cshr,dlc,dltt,dvc,dvt,ebit,ebitda,emp,gdwl,lct,ni,oancf,oiadp,oibdp,opiti,pi,ppent,re,rect,revt,sale,seq,xad,xlr,xrd,xsga,exchg,cik,costat,naicsh,sich,prcc_c,mkvalt,prcc_f,add1,add2,add3,add4,addzip,busdesc,city,conml,county,ggroup,gind,gsector,gsubind,naics,sic,state,ipodate
001690,2010-09-30,2010,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,75183,2005,25620,38609,915.97,909.461,29.405,0,0,0,0,18385,19317,49.4,741,20722,14013,18595,18385,19317,NA,18540,4768,37123,9924,65225,65225,47791,691,NA,1782,7299,14,0000320193,A,334111,3571,322.56,259906.4875,283.75,One Apple Park Way,,,,95014,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services.",Cupertino,Apple Inc,,4520,452020,45,45202030,334220,3663,CA,1980-12-12
001690,2011-09-30,2011,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,116371,4260,25952,62609,929.277,924.258,28.543,0,0,0,0,33790,35612,63.3,896,27970,25922,37529,33790,35612,NA,34205,7777,63284,11717,108249,108249,76615,933,NA,2429,10028,14,0000320193,A,334111,3571,405,354351.9056,381.32,One Apple Park Way,,,,95014,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services.",Cupertino,Apple Inc,,4520,452020,45,45202030,334220,3663,CA,1980-12-12
001690,2012-09-30,2012,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,176064,8295,29129,84641,939.208,934.818,27.696,0,0,2523,2523,55241,58446,76.1,1135,38542,41733,50856,55241,58446,NA,55763,15452,101788,18692,156508,156508,118210,1000,NA,3381,13421,14,0000320193,A,334220,3663,532.1729,626550.3528,667.105,One Apple Park Way,,,,95014,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services.",Cupertino,Apple Inc,,4520,452020,45,45202030,334220,3663,CA,1980-12-12
001690,2013-09-30,2013,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,207000,8165,40546,99849,899.213,925.331,24.71,0,16960,10676,10676,48999,55756,84.4,1577,43658,37037,53666,48999,55756,NA,50155,16597,103785,20641,170910,170910,123549,1100,NA,4475,15305,14,0000320193,A,334220,3663,561.02,428699.7978,476.75,One Apple Park Way,,,,95014,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services.",Cupertino,Apple Inc,,4520,452020,45,45202030,334220,3663,CA,1980-12-12
001690,2014-09-30,2014,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,231839,9571,25077,104312,5866.161,6085.572,26.112,6308,28987,11215,11215,52503,60449,97,4616,63448,39510,59713,52503,60449,NA,53483,20624,88234,27219,182795,182795,111547,1200,NA,6041,18034,14,0000320193,A,334220,3663,110.38,591015.7208,100.75,One Apple Park Way,,,,95014,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services.",Cupertino,Apple Inc,,4520,452020,45,45202030,334220,3663,CA,1980-12-12
001690,2015-09-30,2015,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,290479,11247,41601,129589,5578.753,5753.421,25.924,10999,53463,11627,11627,71230,81730,110,5116,80610,53394,81266,71230,81730,NA,72515,22471,91939,30343,233715,233715,119355,1800,NA,8067,22396,14,0000320193,A,334220,3663,105.26,615336.4559,110.3,One Apple Park Way,,,,95014,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services.",Cupertino,Apple Inc,,4520,452020,45,45202030,334220,3663,CA,1980-12-12
001690,2016-09-30,2016,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,321686,12734,67155,121576,5336.166,5470.82,25.641,11605,75427,12188,12188,59476,69276,116,5414,79006,45687,65824,59476,69276,NA,61372,27010,96998,29299,215091,215091,128249,NA,NA,10045,24239,14,0000320193,A,334220,3663,115.82,603253.5663,113.05,One Apple Park Way,,,,95014,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services.",Cupertino,Apple Inc,,4520,452020,45,45202030,334220,3663,CA,1980-12-12
001690,2017-09-30,2017,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,375319,12451,74181,131648,5126.201,5217.242,25.333,18473,97207,12803,12803,61344,70744,123,5717,100814,48351,63598,61344,70744,NA,64089,33783,98180,35673,229234,229234,134047,NA,NA,11581,26842,14,0000320193,A,334220,3663,169.23,790050.0981,154.12,One Apple Park Way,,,,95014,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services.",Cupertino,Apple Inc,,4520,452020,45,45202030,334220,3663,CA,1980-12-12
001690,2018-09-30,2018,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,365725,13313,66301,152853,4754.986,4955.377,23.712,20748,93735,13735,13735,70662,81565,132,NA,116866,59531,77434,70662,81565,NA,72903,41304,66946,48995,265359,265359,107147,NA,NA,14236,30941,14,0000320193,A,334220,3663,157.74,1073390.5396,225.74,One Apple Park Way,,,,95014,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services.",Cupertino,Apple Inc,,4520,452020,45,45202030,334220,3663,CA,1980-12-12
001690,2019-09-30,2019,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,338516,10495,100580,149235,4443.236,4617.834,23.233,16240,91807,14129,14129,63930,76477,137,NA,105718,55256,69391,63930,76477,NA,65737,37378,45314,45804,260174,260174,90488,NA,NA,16217,34462,14,0000320193,A,334220,3663,293.65,995151.5669,223.97,One Apple Park Way,,,,95014,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services.",Cupertino,Apple Inc,,4520,452020,45,45202030,334220,3663,CA,1980-12-12
001690,2020-09-30,2020,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,323888,7309,90979,158503,16976.763,17352.119,22.797,15229,107049,14087,14087,66288,77344,147,NA,105392,57411,80674,66288,77344,NA,67091,45336,14560,37445,274515,274515,65339,NA,NA,18752,38668,14,0000320193,A,334220,3663,132.69,1966078.923,115.81,One Apple Park Way,,,,95014,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services.",Cupertino,Apple Inc,,4520,452020,45,45202030,334220,3663,CA,1980-12-12
006066,2010-12-31,2010,INDL,C,D,STD,IBM,459200101,INTL BUSINESS MACHINES CORP,USD,12,113452,4185,11651,48472,1227.993,1268.789,523.553,6778,21846,3177,3177,18746,23577,426.751,25137,40562,14833,19549,18746,23577,NA,19714,14097,73789,28225,99871,99871,23046,1337,NA,5720,27822,11,0000051143,A,541519,7370,146.76,180220.2527,146.76,One New Orchard Road,,,,10504,International Business Machines Corporation provides integrated solutions and services worldwide.,Armonk,International Business Machines Corp,,4510,451020,45,45102010,519130,7370,NY,NA
006066,2011-12-31,2011,INDL,C,D,STD,IBM,459200101,INTL BUSINESS MACHINES CORP,USD,12,116433,4108,11922,51320,1163.183,1196.951,504.093,8463,22857,3473,3473,20949,25764,433.362,26213,42123,15855,19847,20949,25764,NA,20997,13883,82972,29561,106916,106916,20138,1373,NA,5990,29832,11,0000051143,A,541519,7370,183.88,213886.09,183.88,One New Orchard Road,,,,10504,International Business Machines Corporation provides integrated solutions and services worldwide.,Armonk,International Business Machines Corp,,4510,451020,45,45102010,519130,7370,NY,NA
